Target Variable,Train R²,Test R²,Test RMSE,Test MAE
next_offensive_avg_field_goals_attempted,0.9490203318976187,0.897517550400665,1.2431226513436568,0.9111441531368801
next_offensive_avg_points,0.9419438997688311,0.8872762768848429,1.6880971965986944,1.2246518056895832
next_offensive_avg_field_goals_made,0.9368547619241256,0.8780318332918805,0.6247015445904713,0.45940027250720866
next_general_avg_rebounds,0.9352909532891357,0.8724396579376682,0.7437015474540414,0.5426913829271992
next_offensive_avg_three_point_field_goals_attempted,0.9345183496386753,0.8559498372164284,0.7458470311637694,0.5359700826858323
next_offensive_avg_two_point_field_goals_attempted,0.9230307767617351,0.8476865162055154,1.087634796038375,0.7779935427180485
next_defensive_avg_defensive_rebounds,0.9195423730222471,0.8466177175491273,0.5941444362868205,0.43479887931084926
next_offensive_avg_two_point_field_goals_made,0.9157415063463857,0.828813003081549,0.6096368751405301,0.43483696377297526
next_offensive_avg_three_point_field_goals_made,0.9188841523239029,0.8217947954136212,0.31025862534998916,0.22013162438235592
next_offensive_avg_assists,0.9181469216591295,0.8172736431406967,0.5354802737833202,0.36536076728727374
next_offensive_avg_offensive_rebounds,0.8985221039807427,0.7782982765371127,0.33566737871279073,0.2388872857951601
next_general_avg_fouls,0.8833435084511798,0.776944697257877,0.3817534124245614,0.28969163451214247
next_offensive_avg_turnovers,0.882261596541559,0.7665573077749618,0.375545039227936,0.2795131750532371
next_defensive_avg_steals,0.8680010772399404,0.7333214678491057,0.2598185607741067,0.18430422671305327
next_offensive_avg_free_throws_attempted,0.8757012472245341,0.7288449439894855,0.7915898321477183,0.5470506689781994
next_defensive_avg_blocks,0.8851703348837291,0.7223635291712063,0.22707786536433675,0.14122881343591748
next_offensive_avg_free_throws_made,0.8744892750447872,0.7045478329819463,0.6287562494120895,0.4219538802797057
next_offensive_free_throws,0.7517677177713045,0.4584843853418584,0.18645976656828395,0.12202285988152284
next_offensive_three_point_field_goal_pct,0.6769059153384739,0.3367700851697718,13.247409214198935,8.598903049238322
next_offensive_field_goal_pct,0.7408388278297354,0.2935873418169531,11.99264311341844,7.213708339468707
next_offensive_two_point_field_goal_pct,0.6996772024483274,0.23450159753070432,15.178926022137953,9.42491219186418
next_offensive_scoring_efficiency,0.7062464709494815,0.21678498517841305,0.3203802477418987,0.19292066525243187
next_offensive_shooting_efficiency,0.7014332793287337,0.17818720512709918,0.1382629741883577,0.08105616030419835
